gender,grade,major_type,monthly_allowance,food_spending,entertainment_spending,fitness_frequency,monthly_fitness_spending,fitness_goal,willingness_to_pay,bookkeeping_habit,satisfaction_score,open_feedback,preferred_activities
Female,Sophomore,STEM,2205,1016.0,92,1-2 times/week,220.0,Weight loss,286,Sometimes,3.9,Convenient workout spaces near the dorm would probably increase my exercise frequency. I would spend more if the quality felt more consistent. I become much more price-sensitive near the end of each month.,"Running, Home workout"
Female,Senior,STEM,2637,1085.0,525,1-2 times/week,184.0,Muscle gain,319,Often,2.9,My spending changes a lot when assignments pile up and I have less free time. Right now I mostly rely on habits instead of a formal budget.,Yoga，Basketball
Male,Freshman,STEM,2299,893.0,413,1-2 times/week,158.0,Health maintenance,171,Often,5.0,Convenient workout spaces near the dorm would probably increase my exercise frequency. I usually decide based on convenience rather than long-term plans. My choices are strongly affected by academic pressure.,"Gym, Home workout"
Female,Graduate,Humanities,1839,988.0,353,1-2 times/week,,Health maintenance,391,Sometimes,4.1,"Healthy food options are improving, but prices still feel a little high. I usually decide based on convenience rather than long-term plans. I become much more price-sensitive near the end of each month.",Gym; Badminton
Female,Junior,STEM,2874,1181.0,424,1-2 times/month,83.0,Stress relief,259,Often,4.2,My spending changes a lot when assignments pile up and I have less free time. A student discount for healthy meals would make a real difference. Friends influence my fitness spending more than promotions do.,Yoga
Female,Junior,Humanities,3069,1854.0,695,5+ times/week,401.0,Health maintenance,864,Sometimes,4.4,,"Running, Yoga, Badminton"
Male,Freshman,Humanities,2472,1056.0,606,1-2 times/month,125.0,Muscle gain,210,Sometimes,4.8,Convenient workout spaces near the dorm would probably increase my exercise frequency. I become much more price-sensitive near the end of each month. Weekend facilities matter more to me than weekday access.,Gym、Running
Male,Graduate,Social Science,2736,1540.0,585,3-4 times/week,253.0,Health maintenance,455,Often,3.2,Convenient workout spaces near the dorm would probably increase my exercise frequency. Right now I mostly rely on habits instead of a formal budget.,"Cycling, Yoga, Swimming"
Male,Freshman,STEM,2883,1293.0,466,Never,51.0,Stress relief,131,Often,1.3,Convenient workout spaces near the dorm would probably increase my exercise frequency. Better information about classes and schedules would increase participation.,"Cycling, Yoga"
Male,Sophomore,Social Science,2822,1403.0,92,Never,49.0,Weight loss,112,Often,2.9,I only spend on exercise when I feel stressed or need to reset my routine. I would spend more if the quality felt more consistent. A student discount for healthy meals would make a real difference.,Badminton
Female,Freshman,Humanities,2538,919.0,594,3-4 times/week,291.0,Socializing,265,Always,4.2,,"Basketball, Gym"
Male,Senior,STEM,2529,889.0,672,1-2 times/week,152.0,Muscle gain,271,Often,3.6,Discount bundles for meals and sports would help students balance lifestyle goals. My choices are strongly affected by academic pressure. A student discount for healthy meals would make a real difference.,"Gym, Badminton"
Female,Freshman,Social Science,2486,1136.0,560,3-4 times/week,103.0,Weight loss,196,Never,3.8,I only spend on exercise when I feel stressed or need to reset my routine. I become much more price-sensitive near the end of each month.,"Badminton, Gym"
Female,Graduate,Social Science,1596,797.0,189,Never,49.0,Muscle gain,92,Rarely,4.2,Convenient workout spaces near the dorm would probably increase my exercise frequency. Weekend facilities matter more to me than weekday access. Friends influence my fitness spending more than promotions do.,Gym
Male,Junior,STEM,2585,1094.0,587,5+ times/week,385.0,Muscle gain,534,Sometimes,4.1,,Badminton; Swimming
Female,Freshman,Arts,1454,500.0,349,3-4 times/week,261.0,Muscle gain,353,Sometimes,4.4,"Healthy food options are improving, but prices still feel a little high. A student discount for healthy meals would make a real difference.","Yoga, Swimming"
Male,Freshman,Business,1763,549.0,510,3-4 times/week,233.0,Stress relief,336,Sometimes,3.1,Convenient workout spaces near the dorm would probably increase my exercise frequency. Friends influence my fitness spending more than promotions do.,Swimming; Gym
Male,Freshman,Humanities,2917,892.0,346,1-2 times/month,121.0,Health maintenance,288,Rarely,2.6,I only spend on exercise when I feel stressed or need to reset my routine. Better information about classes and schedules would increase participation. I would spend more if the quality felt more consistent.,Yoga; Swimming
Male,Junior,Arts,2662,742.0,437,1-2 times/week,205.0,Muscle gain,201,Often,4.7,I only spend on exercise when I feel stressed or need to reset my routine. Weekend facilities matter more to me than weekday access.,Basketball; Gym
Male,Senior,Business,3018,1294.0,701,1-2 times/week,162.0,Stress relief,323,Often,3.5,My spending changes a lot when assignments pile up and I have less free time. Better information about classes and schedules would increase participation. Flexible membership options would feel more attractive than full packages.,Badminton
Male,Sophomore,Social Science,2051,1046.0,377,1-2 times/week,149.0,Muscle gain,317,Often,3.0,Group fitness classes make it easier for me to stay motivated every week. Weekend facilities matter more to me than weekday access. Friends influence my fitness spending more than promotions do.,Swimming、Cycling
Female,Senior,STEM,1566,656.0,159,1-2 times/week,186.0,Health maintenance,259,Always,3.0,Convenient workout spaces near the dorm would probably increase my exercise frequency. I become much more price-sensitive near the end of each month.,Gym
Female,Freshman,Social Science,2068,500.0,432,Never,79.0,Weight loss,215,Sometimes,2.7,I wish the campus gym stayed open later during exam season. Better information about classes and schedules would increase participation. Weekend facilities matter more to me than weekday access.,Yoga
Female,Senior,Humanities,2256,913.0,497,1-2 times/week,,Weight loss,172,Never,2.7,My spending changes a lot when assignments pile up and I have less free time. My choices are strongly affected by academic pressure.,Running
Female,Graduate,STEM,2243,913.0,418,1-2 times/month,128.0,Stress relief,259,Never,2.5,My spending changes a lot when assignments pile up and I have less free time. A student discount for healthy meals would make a real difference. My choices are strongly affected by academic pressure.,"Basketball, Home workout"
Female,Senior,Business,2824,1660.0,552,1-2 times/week,71.0,Health maintenance,143,Always,2.1,,"Gym, Basketball"
Male,Senior,STEM,2001,607.0,324,1-2 times/month,148.0,Health maintenance,209,Sometimes,3.3,Convenient workout spaces near the dorm would probably increase my exercise frequency. I would spend more if the quality felt more consistent.,"Running, Gym"
Female,Senior,STEM,2394,931.0,679,1-2 times/month,93.0,Stress relief,155,Sometimes,2.8,I would like clearer budgeting tools because entertainment spending is easy to underestimate. I become much more price-sensitive near the end of each month. Flexible membership options would feel more attractive than full packages.,Badminton
Female,Freshman,STEM,1656,922.0,194,1-2 times/week,4.0,Health maintenance,48,Sometimes,4.0,My spending changes a lot when assignments pile up and I have less free time. Friends influence my fitness spending more than promotions do. Better information about classes and schedules would increase participation.,"Gym, Running"
Female,Sophomore,Business,2448,1116.0,340,1-2 times/week,205.0,Muscle gain,402,Sometimes,3.7,I would like clearer budgeting tools because entertainment spending is easy to underestimate. My choices are strongly affected by academic pressure.,"Swimming, Yoga"
Female,Freshman,STEM,2202,1024.0,398,1-2 times/week,203.0,Weight loss,275,Always,3.6,Group fitness classes make it easier for me to stay motivated every week. A student discount for healthy meals would make a real difference. My choices are strongly affected by academic pressure.,Yoga
Male,Junior,STEM,1788,767.0,432,1-2 times/week,99.0,Weight loss,196,Rarely,2.6,I would like clearer budgeting tools because entertainment spending is easy to underestimate. Weekend facilities matter more to me than weekday access.,Home workout
Male,Senior,Social Science,2070,924.0,156,3-4 times/week,350.0,Weight loss,661,Never,3.7,Convenient workout spaces near the dorm would probably increase my exercise frequency. I become much more price-sensitive near the end of each month.,"Home workout, Running"
Male,Junior,Humanities,2099,,185,1-2 times/week,228.0,Muscle gain,349,Rarely,3.7,Convenient workout spaces near the dorm would probably increase my exercise frequency. Better information about classes and schedules would increase participation.,Running，Badminton
Male,Senior,Social Science,2051,729.0,80,1-2 times/week,280.0,Stress relief,480,Rarely,4.0,I would like clearer budgeting tools because entertainment spending is easy to underestimate. I become much more price-sensitive near the end of each month.,Swimming
Female,Freshman,STEM,3174,1556.0,579,5+ times/week,316.0,Muscle gain,507,Sometimes,3.7,I only spend on exercise when I feel stressed or need to reset my routine. Flexible membership options would feel more attractive than full packages.,"Swimming, Badminton, Yoga"
Male,Senior,Social Science,2146,666.0,218,1-2 times/week,183.0,Stress relief,256,Sometimes,4.3,Discount bundles for meals and sports would help students balance lifestyle goals. Right now I mostly rely on habits instead of a formal budget.,Running; Yoga
Female,Freshman,Humanities,2066,922.0,316,5+ times/week,409.0,Stress relief,527,Often,3.8,"Healthy food options are improving, but prices still feel a little high. Right now I mostly rely on habits instead of a formal budget. Flexible membership options would feel more attractive than full packages.",Gym，Running
Female,Sophomore,STEM,1046,500.0,237,3-4 times/week,358.0,Health maintenance,521,Sometimes,4.4,Convenient workout spaces near the dorm would probably increase my exercise frequency. Flexible membership options would feel more attractive than full packages.,Cycling; Home workout
Female,Senior,STEM,1708,,231,Never,56.0,Health maintenance,99,Always,2.8,Convenient workout spaces near the dorm would probably increase my exercise frequency. Weekend facilities matter more to me than weekday access. Right now I mostly rely on habits instead of a formal budget.,Swimming; Cycling
Male,Graduate,Humanities,2055,859.0,403,1-2 times/week,146.0,Muscle gain,291,Rarely,2.1,Discount bundles for meals and sports would help students balance lifestyle goals. Better information about classes and schedules would increase participation. I would spend more if the quality felt more consistent.,Badminton
Female,Junior,STEM,1823,675.0,290,3-4 times/week,272.0,Muscle gain,486,Sometimes,4.0,My spending changes a lot when assignments pile up and I have less free time. Friends influence my fitness spending more than promotions do.,"Yoga, Badminton, Home workout"
Female,Freshman,Business,2960,989.0,672,5+ times/week,350.0,Stress relief,492,Sometimes,4.3,Discount bundles for meals and sports would help students balance lifestyle goals. My choices are strongly affected by academic pressure.,"Swimming, Yoga, Basketball"
Female,Junior,Arts,2109,826.0,450,1-2 times/week,42.0,Stress relief,60,Sometimes,3.6,Convenient workout spaces near the dorm would probably increase my exercise frequency. Right now I mostly rely on habits instead of a formal budget.,Gym，Cycling
Female,Freshman,STEM,2909,965.0,383,1-2 times/month,106.0,Muscle gain,177,Never,3.5,Group fitness classes make it easier for me to stay motivated every week. Flexible membership options would feel more attractive than full packages. Friends influence my fitness spending more than promotions do.,Swimming，Basketball
Male,Graduate,STEM,2234,996.0,376,1-2 times/week,281.0,Muscle gain,574,Often,3.2,Group fitness classes make it easier for me to stay motivated every week. My choices are strongly affected by academic pressure.,Gym; Yoga
Female,Senior,Arts,2220,728.0,562,1-2 times/month,139.0,Health maintenance,256,Often,2.8,I wish the campus gym stayed open later during exam season. A student discount for healthy meals would make a real difference.,"Running, Badminton"
Female,Freshman,Humanities,2151,1026.0,446,3-4 times/week,386.0,Health maintenance,581,Often,4.2,Discount bundles for meals and sports would help students balance lifestyle goals. Better information about classes and schedules would increase participation. Friends influence my fitness spending more than promotions do.,Gym，Swimming
Female,Freshman,STEM,2202,717.0,181,1-2 times/week,211.0,Weight loss,383,Rarely,3.8,Group fitness classes make it easier for me to stay motivated every week. I would spend more if the quality felt more consistent.,Basketball
Male,Freshman,Social Science,3145,1178.0,710,3-4 times/week,210.0,Stress relief,241,Never,3.4,Discount bundles for meals and sports would help students balance lifestyle goals. I usually decide based on convenience rather than long-term plans. Flexible membership options would feel more attractive than full packages.,"Cycling, Gym, Basketball"
Female,Graduate,Social Science,924,500.0,96,3-4 times/week,198.0,Health maintenance,374,Often,4.6,Group fitness classes make it easier for me to stay motivated every week. Friends influence my fitness spending more than promotions do. I become much more price-sensitive near the end of each month.,"Basketball, Home workout"
Female,Junior,Business,1099,578.0,306,1-2 times/week,86.0,Weight loss,196,Never,2.5,Convenient workout spaces near the dorm would probably increase my exercise frequency. Friends influence my fitness spending more than promotions do.,Cycling
Female,Senior,Humanities,1901,849.0,478,1-2 times/week,158.0,Health maintenance,286,Often,3.0,My spending changes a lot when assignments pile up and I have less free time. Friends influence my fitness spending more than promotions do.,Gym
Non-binary,Junior,STEM,2208,890.0,442,3-4 times/week,,Weight loss,532,Rarely,5.0,Discount bundles for meals and sports would help students balance lifestyle goals. A student discount for healthy meals would make a real difference.,"Badminton, Cycling"
Male,Junior,STEM,2580,1187.0,493,3-4 times/week,329.0,Stress relief,609,Always,4.5,I wish the campus gym stayed open later during exam season. I become much more price-sensitive near the end of each month. A student discount for healthy meals would make a real difference.,"Running, Yoga"
Male,Freshman,Humanities,2460,619.0,407,3-4 times/week,194.0,Muscle gain,337,Sometimes,3.5,I would like clearer budgeting tools because entertainment spending is easy to underestimate. I would spend more if the quality felt more consistent.,Yoga; Basketball
Female,Graduate,STEM,1989,829.0,452,Never,104.0,Weight loss,258,Rarely,3.4,Group fitness classes make it easier for me to stay motivated every week. A student discount for healthy meals would make a real difference. Better information about classes and schedules would increase participation.,Running
Non-binary,Sophomore,Humanities,2760,1600.0,425,1-2 times/week,171.0,Health maintenance,393,Sometimes,3.6,"Healthy food options are improving, but prices still feel a little high. Flexible membership options would feel more attractive than full packages.",Home workout
Male,Junior,Social Science,2767,1191.0,544,1-2 times/month,103.0,Stress relief,227,Often,1.1,Discount bundles for meals and sports would help students balance lifestyle goals. Right now I mostly rely on habits instead of a formal budget. I become much more price-sensitive near the end of each month.,Basketball
Male,Senior,STEM,2301,979.0,555,3-4 times/week,270.0,Socializing,422,Rarely,3.1,Discount bundles for meals and sports would help students balance lifestyle goals. Right now I mostly rely on habits instead of a formal budget.,"Swimming, Basketball, Cycling"
Female,Junior,Humanities,2729,1266.0,384,3-4 times/week,323.0,Muscle gain,517,Never,3.8,Group fitness classes make it easier for me to stay motivated every week. I usually decide based on convenience rather than long-term plans. I become much more price-sensitive near the end of each month.,Badminton，Running
Female,Graduate,STEM,2350,1155.0,322,1-2 times/week,220.0,Health maintenance,493,Sometimes,3.2,Group fitness classes make it easier for me to stay motivated every week. I usually decide based on convenience rather than long-term plans.,"Basketball, Badminton"
Female,Freshman,Social Science,1891,500.0,182,1-2 times/month,145.0,Socializing,207,Sometimes,3.6,I would like clearer budgeting tools because entertainment spending is easy to underestimate. Right now I mostly rely on habits instead of a formal budget.,Swimming
Male,Junior,STEM,2584,738.0,273,1-2 times/week,210.0,Stress relief,332,Rarely,4.3,My spending changes a lot when assignments pile up and I have less free time. I usually decide based on convenience rather than long-term plans. I would spend more if the quality felt more consistent.,Badminton
Female,Sophomore,Humanities,2261,988.0,118,3-4 times/week,316.0,Weight loss,469,Often,3.6,I wish the campus gym stayed open later during exam season. I would spend more if the quality felt more consistent.,Yoga，Badminton，Gym
Female,Junior,Business,2201,799.0,509,1-2 times/month,55.0,Health maintenance,168,Never,2.4,I would like clearer budgeting tools because entertainment spending is easy to underestimate. My choices are strongly affected by academic pressure. I usually decide based on convenience rather than long-term plans.,Basketball
Female,Freshman,Business,3010,,923,1-2 times/month,169.0,Stress relief,204,Often,3.7,My spending changes a lot when assignments pile up and I have less free time. Right now I mostly rely on habits instead of a formal budget.,Basketball，Badminton
Male,Freshman,Humanities,900,500.0,252,5+ times/week,339.0,Socializing,444,Rarely,3.6,"Healthy food options are improving, but prices still feel a little high. I would spend more if the quality felt more consistent. I become much more price-sensitive near the end of each month.",Home workout、Basketball
Female,Sophomore,Social Science,1420,500.0,94,3-4 times/week,231.0,Muscle gain,308,Always,3.7,Convenient workout spaces near the dorm would probably increase my exercise frequency. I become much more price-sensitive near the end of each month.,Swimming，Running
Male,Sophomore,Humanities,1547,500.0,357,1-2 times/month,14.0,Muscle gain,48,Often,3.0,I would like clearer budgeting tools because entertainment spending is easy to underestimate. I would spend more if the quality felt more consistent.,Yoga
Male,Sophomore,Social Science,2000,500.0,559,1-2 times/week,,Weight loss,176,Sometimes,4.9,My spending changes a lot when assignments pile up and I have less free time. I usually decide based on convenience rather than long-term plans.,"Basketball, Swimming"
Male,Junior,Arts,2060,827.0,305,5+ times/week,444.0,Health maintenance,519,Sometimes,2.1,Convenient workout spaces near the dorm would probably increase my exercise frequency. Friends influence my fitness spending more than promotions do.,"Gym, Running"
Female,Junior,Business,1371,555.0,257,3-4 times/week,262.0,Socializing,273,Rarely,3.5,,"Badminton, Basketball"
Male,Sophomore,Business,1658,640.0,80,1-2 times/week,74.0,Weight loss,180,Never,3.2,I would like clearer budgeting tools because entertainment spending is easy to underestimate. A student discount for healthy meals would make a real difference. Right now I mostly rely on habits instead of a formal budget.,Swimming，Running
Male,Sophomore,STEM,1727,874.0,343,1-2 times/week,281.0,Health maintenance,396,Always,2.9,Convenient workout spaces near the dorm would probably increase my exercise frequency. I become much more price-sensitive near the end of each month.,Gym
Male,Sophomore,Social Science,3552,1832.0,375,1-2 times/week,113.0,Socializing,210,Often,3.9,Convenient workout spaces near the dorm would probably increase my exercise frequency. I usually decide based on convenience rather than long-term plans.,Cycling
Female,Junior,Business,3191,1297.0,619,Never,74.0,Weight loss,206,Sometimes,3.8,I only spend on exercise when I feel stressed or need to reset my routine. A student discount for healthy meals would make a real difference. My choices are strongly affected by academic pressure.,Home workout
Female,Sophomore,Business,1974,500.0,140,3-4 times/week,235.0,Weight loss,275,Sometimes,3.8,Discount bundles for meals and sports would help students balance lifestyle goals. Weekend facilities matter more to me than weekday access.,
Female,Freshman,STEM,2000,939.0,436,Never,,Health maintenance,90,Sometimes,3.0,I would like clearer budgeting tools because entertainment spending is easy to underestimate. A student discount for healthy meals would make a real difference.,"Swimming, Cycling"
Female,Sophomore,Social Science,1568,728.0,395,Never,74.0,Health maintenance,213,Rarely,3.1,I wish the campus gym stayed open later during exam season. I would spend more if the quality felt more consistent.,"Yoga, Home workout"
Female,Junior,Business,1151,512.0,144,3-4 times/week,121.0,Weight loss,292,Rarely,3.7,Group fitness classes make it easier for me to stay motivated every week. I usually decide based on convenience rather than long-term plans.,Swimming; Basketball; Running
Female,Sophomore,Humanities,2136,1065.0,214,5+ times/week,,Health maintenance,378,Always,3.7,"Healthy food options are improving, but prices still feel a little high. I usually decide based on convenience rather than long-term plans.",Yoga，Swimming
Female,Junior,STEM,1651,540.0,80,3-4 times/week,,Stress relief,257,Sometimes,3.7,"Healthy food options are improving, but prices still feel a little high. I usually decide based on convenience rather than long-term plans.",
Male,Junior,Arts,2153,1250.0,347,1-2 times/week,271.0,Health maintenance,403,Sometimes,3.6,Convenient workout spaces near the dorm would probably increase my exercise frequency. Right now I mostly rely on habits instead of a formal budget. I usually decide based on convenience rather than long-term plans.,Gym，Cycling
Female,Senior,STEM,1320,500.0,184,1-2 times/week,101.0,Health maintenance,189,Sometimes,3.8,"Healthy food options are improving, but prices still feel a little high. A student discount for healthy meals would make a real difference. Right now I mostly rely on habits instead of a formal budget.",Running，Gym
